case_id,storm_id,init_time,forecast_hours,output_interval_hours,name,basin
2023201N13134-CE02-L024,2023201N13134,2023-07-24T18:00:00Z,24,6,DOKSURI,WP
2023201N13134-CE02-L048,2023201N13134,2023-07-23T18:00:00Z,48,6,DOKSURI,WP
2023201N13134-CE02-L072,2023201N13134,2023-07-22T18:00:00Z,72,6,DOKSURI,WP
2023201N13134-CE02-L096,2023201N13134,2023-07-21T18:00:00Z,96,6,DOKSURI,WP
2023201N13134-CE02-L120,2023201N13134,2023-07-20T18:00:00Z,120,6,DOKSURI,WP
2023207N09141-CE01-L024,2023207N09141,2023-08-08T12:00:00Z,30,6,KHANUN,WP
2023207N09141-CE01-L048,2023207N09141,2023-08-07T12:00:00Z,54,6,KHANUN,WP
2023207N09141-CE01-L072,2023207N09141,2023-08-06T12:00:00Z,78,6,KHANUN,WP
2023207N09141-CE01-L096,2023207N09141,2023-08-05T12:00:00Z,102,6,KHANUN,WP
2023207N09141-CE01-L120,2023207N09141,2023-08-04T12:00:00Z,126,6,KHANUN,WP
2023218N25145-CE01-L024,2023218N25145,2023-08-13T18:00:00Z,30,6,LAN,WP
2023218N25145-CE01-L048,2023218N25145,2023-08-12T18:00:00Z,54,6,LAN,WP
2023218N25145-CE01-L072,2023218N25145,2023-08-11T18:00:00Z,78,6,LAN,WP
2023218N25145-CE01-L096,2023218N25145,2023-08-10T18:00:00Z,102,6,LAN,WP
2023218N25145-CE01-L120,2023218N25145,2023-08-09T18:00:00Z,126,6,LAN,WP
2023228N12259-CE01-L024,2023228N12259,2023-08-19T12:00:00Z,30,6,HILARY,EP
2023228N12259-CE01-L048,2023228N12259,2023-08-18T12:00:00Z,54,6,HILARY,EP
2023228N12259-CE01-L072,2023228N12259,2023-08-17T12:00:00Z,78,6,HILARY,EP
2023228N12259-CE01-L096,2023228N12259,2023-08-16T12:00:00Z,102,6,HILARY,EP
2023228N12259-CE01-L120,2023228N12259,2023-08-15T12:00:00Z,126,6,HILARY,EP
2023234N18128-CE01-L024,2023234N18128,2023-08-25T18:00:00Z,30,6,SAOLA,WP
2023234N18128-CE01-L048,2023234N18128,2023-08-24T18:00:00Z,54,6,SAOLA,WP
2023234N18128-CE01-L072,2023234N18128,2023-08-23T18:00:00Z,78,6,SAOLA,WP
2023234N18128-CE01-L096,2023234N18128,2023-08-22T18:00:00Z,102,6,SAOLA,WP
2023234N18128-CE01-L120,2023234N18128,2023-08-21T18:00:00Z,126,6,SAOLA,WP
2023234N18128-CE02-L024,2023234N18128,2023-08-28T18:00:00Z,24,6,SAOLA,WP
2023234N18128-CE02-L048,2023234N18128,2023-08-27T18:00:00Z,48,6,SAOLA,WP
2023234N18128-CE02-L072,2023234N18128,2023-08-26T18:00:00Z,72,6,SAOLA,WP
2023234N18128-CE02-L096,2023234N18128,2023-08-25T18:00:00Z,96,6,SAOLA,WP
2023234N18128-CE02-L120,2023234N18128,2023-08-24T18:00:00Z,120,6,SAOLA,WP
2023239N21274-CE01-L024,2023239N21274,2023-08-29T12:00:00Z,24,6,IDALIA,NA
2023239N21274-CE01-L048,2023239N21274,2023-08-28T12:00:00Z,48,6,IDALIA,NA
